zip,count,percent
20707,1,0.1519756838905775
20814,10,1.5197568389057752
20815,6,0.911854103343465
20816,4,0.60790273556231
20817,18,2.735562310030395
20832,2,0.303951367781155
20833,1,0.1519756838905775
20837,2,0.303951367781155
20841,3,0.4559270516717325
20850,43,6.5349544072948325
20851,6,0.911854103343465
20852,56,8.51063829787234
20853,20,3.0395136778115504
20854,8,1.21580547112462
20855,12,1.82370820668693
20860,2,0.303951367781155
20861,1,0.1519756838905775
20866,5,0.7598784194528876
20871,14,2.127659574468085
20872,8,1.21580547112462
20874,62,9.422492401215806
20876,22,3.343465045592705
20877,50,7.598784194528875
20878,43,6.5349544072948325
20879,20,3.0395136778115504
20882,8,1.21580547112462
20886,25,3.7993920972644375
20889,1,0.1519756838905775
20895,14,2.127659574468085
20901,19,2.8875379939209727
20902,40,6.079027355623101
20903,6,0.911854103343465
20904,40,6.079027355623101
20905,4,0.60790273556231
20906,51,7.750759878419452
20910,31,4.711246200607903
